date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:22	11682/11682	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:21%20GMT	http://laravel.com/docs/4.2	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.html	(from )
10:13:23	106/106	---M--	200	added ('OK')	text/plain	etag:%22542042cc-6a%22	http://laravel.com/robots.txt		(from )
10:13:23	1899/1899	---M--	200	added ('OK')	image/png	etag:%22542042cc-76b%22	http://laravel.com/favicon.png?v=2	/home/neeraj/Desktop/project/docs/laravel/laravel.com/favicon5e1f.png	(from http://laravel.com/docs/4.2)
10:13:25	89491/89491	---M--	200	added ('OK')	text/css	etag:%225439e46f-15d93%22	http://laravel.com/assets/css/styles.css	/home/neeraj/Desktop/project/docs/laravel/laravel.com/assets/css/styles.css	(from http://laravel.com/docs/4.2)
10:13:26	20173/20173	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2031%20Jan%202015%2004:16:25%20GMT	http://use.edgefonts.net/source-sans-pro:n3,i3,n4,i4,n6,i6,n7,i7.js	/home/neeraj/Desktop/project/docs/laravel/use.edgefonts.net/source-sans-pro_n3,i3,n4,i4,n6,i6,n7,i7.js	(from http://laravel.com/docs/4.2)
10:13:26	20017/20017	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2002%20Feb%202015%2004:35:51%20GMT	http://use.edgefonts.net/source-code-pro.js	/home/neeraj/Desktop/project/docs/laravel/use.edgefonts.net/source-code-pro.js	(from http://laravel.com/docs/4.2)
10:13:28	12356/12356	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:27%20GMT	http://laravel.com/docs/master	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master.html	(from http://laravel.com/docs/4.2)
10:13:29	11514/11514	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:28%20GMT	http://laravel.com/docs/4.1	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4-2.html	(from http://laravel.com/docs/4.2)
10:13:29	12325/12325	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:28%20GMT	http://laravel.com/docs/4.0	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4-3.html	(from http://laravel.com/docs/4.2)
10:13:29	4978/4978	---M--	200	added ('OK')	image/png	etag:%22542042cc-1372%22	http://laravel.com/assets/img/logo-head.png	/home/neeraj/Desktop/project/docs/laravel/laravel.com/assets/img/logo-head.png	(from http://laravel.com/docs/4.2)
10:13:30	11682/11682	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:29%20GMT	http://laravel.com/docs/4.2/introduction	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/introduction.html	(from http://laravel.com/docs/4.2)
10:13:30	22565/22565	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:30%20GMT	http://laravel.com/docs/4.2/quick	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/quick.html	(from http://laravel.com/docs/4.2)
10:13:31	18702/18702	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:30%20GMT	http://laravel.com/docs/4.2/releases	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/releases.html	(from http://laravel.com/docs/4.2)
10:13:31	19562/19562	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:30%20GMT	http://laravel.com/docs/4.2/upgrade	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/upgrade.html	(from http://laravel.com/docs/4.2)
10:13:31	20825/20825	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:31%20GMT	http://laravel.com/docs/4.2/contributions	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/contributions.html	(from http://laravel.com/docs/4.2)
10:13:32	14807/14807	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:31%20GMT	http://laravel.com/docs/4.2/installation	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/installation.html	(from http://laravel.com/docs/4.2)
10:13:32	18182/18182	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:32%20GMT	http://laravel.com/docs/4.2/configuration	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/configuration.html	(from http://laravel.com/docs/4.2)
10:13:33	19757/19757	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:32%20GMT	http://laravel.com/docs/4.2/homestead	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/homestead.html	(from http://laravel.com/docs/4.2)
10:13:34	17797/17797	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:33%20GMT	http://laravel.com/docs/4.2/lifecycle	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/lifecycle.html	(from http://laravel.com/docs/4.2)
10:13:34	20704/20704	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:34%20GMT	http://laravel.com/docs/4.2/routing	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/routing.html	(from http://laravel.com/docs/4.2)
10:13:35	15865/15865	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:34%20GMT	http://laravel.com/docs/4.2/requests	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/requests.html	(from http://laravel.com/docs/4.2)
10:13:35	18103/18103	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:35%20GMT	http://laravel.com/docs/4.2/responses	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/responses.html	(from http://laravel.com/docs/4.2)
10:13:36	19850/19850	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:35%20GMT	http://laravel.com/docs/4.2/controllers	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/controllers.html	(from http://laravel.com/docs/4.2)
10:13:36	15360/15360	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:35%20GMT	http://laravel.com/docs/4.2/errors	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/errors.html	(from http://laravel.com/docs/4.2)
10:13:36	25504/25504	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:36%20GMT	http://laravel.com/docs/4.2/security	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/security.html	(from http://laravel.com/docs/4.2)
10:13:37	20469/20469	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:36%20GMT	http://laravel.com/docs/4.2/billing	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/billing.html	(from http://laravel.com/docs/4.2)
10:13:37	15463/15463	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:37%20GMT	http://laravel.com/docs/4.2/cache	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/cache.html	(from http://laravel.com/docs/4.2)
10:13:38	27496/27496	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:37%20GMT	http://laravel.com/docs/4.2/extending	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/extending.html	(from http://laravel.com/docs/4.2)
10:13:38	15465/15465	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:37%20GMT	http://laravel.com/docs/4.2/events	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/events.html	(from http://laravel.com/docs/4.2)
10:13:39	22815/22815	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:38%20GMT	http://laravel.com/docs/4.2/facades	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/facades.html	(from http://laravel.com/docs/4.2)
10:13:40	17125/17125	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:39%20GMT	http://laravel.com/docs/4.2/html	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/html.html	(from http://laravel.com/docs/4.2)
10:13:40	20396/20396	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:39%20GMT	http://laravel.com/docs/4.2/helpers	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/helpers.html	(from http://laravel.com/docs/4.2)
10:13:40	17690/17690	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:40%20GMT	http://laravel.com/docs/4.2/ioc	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/ioc.html	(from http://laravel.com/docs/4.2)
10:13:41	14350/14350	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:40%20GMT	http://laravel.com/docs/4.2/localization	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/localization.html	(from http://laravel.com/docs/4.2)
10:13:41	16849/16849	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:41%20GMT	http://laravel.com/docs/4.2/mail	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/mail.html	(from http://laravel.com/docs/4.2)
10:13:42	27486/27486	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:41%20GMT	http://laravel.com/docs/4.2/packages	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/packages.html	(from http://laravel.com/docs/4.2)
10:13:42	16374/16374	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:41%20GMT	http://laravel.com/docs/4.2/pagination	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/pagination.html	(from http://laravel.com/docs/4.2)
10:13:42	23036/23036	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:42%20GMT	http://laravel.com/docs/4.2/queues	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/queues.html	(from http://laravel.com/docs/4.2)
10:13:43	13753/13753	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:42%20GMT	http://laravel.com/docs/4.2/session	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/session.html	(from http://laravel.com/docs/4.2)
10:13:43	19083/19083	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:43%20GMT	http://laravel.com/docs/4.2/ssh	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/ssh.html	(from http://laravel.com/docs/4.2)
10:13:44	15785/15785	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:43%20GMT	http://laravel.com/docs/4.2/templates	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/templates.html	(from http://laravel.com/docs/4.2)
10:13:44	17939/17939	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:44%20GMT	http://laravel.com/docs/4.2/testing	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/testing.html	(from http://laravel.com/docs/4.2)
10:13:45	33270/33270	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:44%20GMT	http://laravel.com/docs/4.2/validation	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/validation.html	(from http://laravel.com/docs/4.2)
10:13:45	15322/15322	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:44%20GMT	http://laravel.com/docs/4.2/database	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/database.html	(from http://laravel.com/docs/4.2)
10:13:45	20615/20615	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:45%20GMT	http://laravel.com/docs/4.2/queries	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/queries.html	(from http://laravel.com/docs/4.2)
10:13:46	59796/59796	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:45%20GMT	http://laravel.com/docs/4.2/eloquent	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/eloquent.html	(from http://laravel.com/docs/4.2)
10:13:46	20924/20924	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:46%20GMT	http://laravel.com/docs/4.2/schema	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/schema.html	(from http://laravel.com/docs/4.2)
10:13:47	14120/14120	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:46%20GMT	http://laravel.com/docs/4.2/migrations	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/migrations.html	(from http://laravel.com/docs/4.2)
10:13:47	13515/13515	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:46%20GMT	http://laravel.com/docs/4.2/redis	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/redis.html	(from http://laravel.com/docs/4.2)
10:13:47	10751/10751	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:47%20GMT	http://laravel.com/docs/4.2/artisan	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/4.2/artisan.html	(from http://laravel.com/docs/4.2)
